Unnamed: 0,Nombre de Comunidad,Código de Provincia,Nombre de Provincia,Código de Municipio,Nombre de Municipio,Población,Número de mesas,Total censo electoral,Total votantes,Votos válidos,Votos a candidaturas,Votos en blanco,Votos nulos,PSOE,PP,Cs                                                ,PODEMOS-IU-EQUO                                   ,VOX                                               ,ERC-SOBIRANISTES                                  ,ECP-GUANYEM EL CANVI                              ,JxCAT-JUNTS                                       ,EAJ-PNV                                           ,EH Bildu                                          ,PODEMOS-EU-MAREAS EN COMÚN-EQUO                   ,CCa-PNC                                           ,NA+                                               ,COMPROMÍS 2019                                    ,PRC                                               ,PACMA                                             ,FRONT REPUBLICÀ                                   ,BNG                                               ,RECORTES CERO-GV                                  ,NCa                                               ,PACT                                              ,ARA-MES-ESQUERRA                                  ,GBAI                                              ,PUM+J                                             ,EN MAREA                                          ,PCTE                                              ,EL PI                                             ,AxSI                                              ,PCOE                                              ,PCPE                                              ,AVANT ADELANTE LOS VERDES                         ,EB                                                ,CpM                                               ,SOMOS REGIÓN                                      ,PCPA                                              ,PH                                                ,UIG-SOM-CUIDES                                    ,ERPV                                              ,IZQP                                              ,PCPC                                              ,AHORA CANARIAS                                    ,CxG                                               ,PPSO                                              ,CNV                                               ,PREPAL                                            ,C.Ex-C.R.Ex-P.R.Ex                                ,PR+                                               ,P-LIB                                             ,CILU-LINARES                                      ,ANDECHA ASTUR                                     ,"""JF""                                              ",PYLN                                              ,FIA                                               ,FE de las JONS                                    ,F8                                                ,SOLIDARIA                                         ,DPL                                               ,UNIÓN REGIONALISTA                                ,centrados                                         ,VOU                                               ,DP                                                ,PDSJE-UDEC                                        ,IZAR                                              ,RISA                                              ,C 21                                              ,+MAS+                                             ,UDT                                               ,COD_POSTAL,%PSOE,%PP,size
6764,Comunidad de Madrid           ,28,Madrid                        ,102,Orusco de Tajuña,1202,1,891,681,666,662,4,15,260,105,104,103,80,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28102,0.39274924471299094,,<5K
6765,Comunidad de Madrid           ,28,Madrid                        ,104,Paracuellos de Jarama,24521,26,15318,12897,12797,12710,87,100,2625,1965,3786,1657,2377,0,0,0,0,0,0,0,0,0,0,179,0,0,21,0,70,0,0,9,0,6,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28104,0.20653029110936272,,>5K
6766,Comunidad de Madrid           ,28,Madrid                        ,106,Parla,128256,130,78431,59182,58471,58054,417,711,18771,6065,11391,11495,8181,0,0,0,0,0,0,0,0,0,0,1244,0,0,169,0,436,0,0,101,0,53,0,0,0,62,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28106,0.3233368932373308,,>5K
6767,Comunidad de Madrid           ,28,Madrid                        ,107,Patones,523,1,442,336,325,322,3,11,116,58,61,36,45,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28107,0.36024844720496896,,<5K
6768,Comunidad de Madrid           ,28,Madrid                        ,108,Pedrezuela,5746,6,3642,2878,2841,2825,16,37,654,426,654,496,518,0,0,0,0,0,0,0,0,0,0,48,0,0,6,0,9,0,0,5,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28108,0.23150442477876107,,<5K
6769,Comunidad de Madrid           ,28,Madrid                        ,109,Pelayos de la Presa,2475,2,1622,1205,1192,1189,3,13,219,294,245,164,229,0,0,0,0,0,0,0,0,0,0,26,0,0,5,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28109,0.184188393608074,,<5K
6770,Comunidad de Madrid           ,28,Madrid                        ,110,Perales de Tajuña,2831,3,2003,1596,1571,1564,7,25,527,336,247,178,256,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28110,0.33695652173913043,,<5K
6771,Comunidad de Madrid           ,28,Madrid                        ,111,Pezuela de las Torres,821,1,622,492,487,486,1,5,129,112,95,70,71,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28111,0.2654320987654321,,<5K
6772,Comunidad de Madrid           ,28,Madrid                        ,112,Pinilla del Valle,187,1,154,137,137,136,1,0,46,22,28,13,25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28112,0.3382352941176471,,<5K
6773,Comunidad de Madrid           ,28,Madrid                        ,113,Pinto,51541,59,36716,29939,29607,29383,224,332,8762,3744,6555,5401,4054,0,0,0,0,0,0,0,0,0,0,539,0,0,57,0,187,0,0,30,0,22,0,0,0,11,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28113,0.29819963924718373,,>5K
6774,Comunidad de Madrid           ,28,Madrid                        ,114,Piñuécar-Gandullas,171,1,143,104,104,104,0,0,16,34,16,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28114,0.15384615384615385,,<5K
6775,Comunidad de Madrid           ,28,Madrid                        ,115,Pozuelo de Alarcón,86172,100,62352,53136,52912,52644,268,224,8910,15643,13143,3695,10474,0,0,0,0,0,0,0,0,0,0,465,0,0,43,0,175,0,0,50,0,9,0,0,0,10,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28115,0.16925005698655118,,>5K
6776,Comunidad de Madrid           ,28,Madrid                        ,116,Pozuelo del Rey,1120,1,759,621,618,611,7,3,148,97,138,100,111,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28116,0.24222585924713586,,<5K
6777,Comunidad de Madrid           ,28,Madrid                        ,117,Prádena del Rincón,117,1,98,89,87,85,2,2,18,27,15,17,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28117,0.21176470588235294,,<5K
